aoi,aoi_kind,scene,scene_date,zone,lat,lng,ndvi,ndwi,ferric_ratio,clay_ratio,albedo,lst_c,elevation_m,tpi_m,slope_deg,workings_frac,label
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R09C13,21.630653,79.851046,0.366,-0.448,1.661,1.406,0.086,27.3,348,-1.6,1.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R09C14,21.630653,79.853945,0.388,-0.449,1.536,1.481,0.081,26.1,344,-3.7,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R09C15,21.630653,79.856844,0.381,-0.483,1.703,1.531,0.085,26.5,345,-1.7,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R09C16,21.630653,79.859743,0.668,-0.617,1.263,1.91,0.044,23.8,344,-2.3,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C01,21.627958,79.816257,0.34,-0.436,1.668,1.435,0.105,28.7,341,0.1,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C02,21.627958,79.819156,0.306,-0.383,1.611,1.443,0.093,27.7,340,-0.7,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C03,21.627958,79.822055,0.298,-0.311,1.361,1.532,0.066,25.8,339,-2.0,0.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C04,21.627958,79.824954,0.427,-0.488,1.555,1.501,0.086,27.7,341,-0.4,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C05,21.627958,79.827853,0.399,-0.469,1.589,1.466,0.092,28.2,342,-0.5,0.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C06,21.627958,79.830752,0.426,-0.477,1.552,1.509,0.087,27.8,341,-3.0,0.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C07,21.627958,79.833651,0.371,-0.451,1.614,1.457,0.098,28.4,343,-3.2,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C08,21.627958,79.83655,0.406,-0.466,1.572,1.463,0.082,27.8,347,-2.1,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C09,21.627958,79.83945,0.493,-0.522,1.492,1.587,0.07,26.9,349,-2.5,1.1,0.312,-1
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C10,21.627958,79.842349,0.46,-0.522,1.483,1.438,0.075,28.1,357,4.2,1.1,1.0,1
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C11,21.627958,79.845248,0.417,-0.479,1.626,1.43,0.079,28.0,355,1.8,0.9,0.188,-1
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C12,21.627958,79.848147,0.359,-0.468,1.77,1.427,0.096,29.2,355,2.4,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C13,21.627958,79.851046,0.35,-0.444,1.689,1.423,0.094,28.1,349,-1.8,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C14,21.627958,79.853945,0.463,-0.523,1.581,1.529,0.073,26.2,347,-2.6,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C15,21.627958,79.856844,0.329,-0.314,1.295,1.706,0.048,23.6,347,-2.0,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R10C16,21.627958,79.859743,0.698,-0.635,1.166,2.034,0.041,23.6,351,2.2,1.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C01,21.625263,79.816257,0.34,-0.43,1.609,1.441,0.098,27.9,343,1.2,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C02,21.625263,79.819156,0.332,-0.422,1.615,1.446,0.095,27.6,342,0.4,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C03,21.625263,79.822055,0.352,-0.431,1.609,1.443,0.081,27.5,341,-0.8,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C04,21.625263,79.824954,0.41,-0.481,1.58,1.494,0.089,27.6,339,-3.1,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C05,21.625263,79.827853,0.418,-0.475,1.543,1.51,0.087,28.0,343,0.2,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C06,21.625263,79.830752,0.377,-0.459,1.611,1.467,0.093,28.2,344,0.1,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C07,21.625263,79.833651,0.427,-0.486,1.564,1.499,0.086,27.7,343,-2.5,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C08,21.625263,79.83655,0.439,-0.487,1.561,1.506,0.077,27.3,344,-3.4,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C09,21.625263,79.83945,0.438,-0.482,1.551,1.512,0.078,27.0,347,-2.2,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C10,21.625263,79.842349,0.412,-0.444,1.477,1.491,0.074,26.9,347,-3.9,0.9,0.188,-1
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C11,21.625263,79.845248,0.371,-0.458,1.654,1.444,0.095,27.8,350,-1.8,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C12,21.625263,79.848147,0.343,-0.448,1.661,1.423,0.096,28.1,352,0.0,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C13,21.625263,79.851046,0.331,-0.44,1.689,1.409,0.097,28.6,352,0.2,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C14,21.625263,79.853945,0.414,-0.492,1.627,1.51,0.083,26.4,352,0.0,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C15,21.625263,79.856844,0.676,-0.621,1.23,1.928,0.042,23.5,350,-1.9,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R11C16,21.625263,79.859743,0.725,-0.637,1.171,2.082,0.045,23.6,355,2.8,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C01,21.622568,79.816257,0.582,-0.574,1.315,1.781,0.056,25.9,344,1.8,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C02,21.622568,79.819156,0.357,-0.44,1.58,1.446,0.096,27.8,345,2.8,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C03,21.622568,79.822055,0.389,-0.453,1.588,1.474,0.081,28.3,343,0.4,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C04,21.622568,79.824954,0.468,-0.504,1.522,1.54,0.074,27.7,340,-3.1,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C05,21.622568,79.827853,0.458,-0.507,1.568,1.55,0.08,27.3,341,-2.4,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C06,21.622568,79.830752,0.45,-0.493,1.552,1.509,0.082,28.1,344,-0.3,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C07,21.622568,79.833651,0.447,-0.486,1.577,1.469,0.082,27.8,346,0.3,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C08,21.622568,79.83655,0.357,-0.444,1.677,1.345,0.097,28.3,347,-0.2,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C09,21.622568,79.83945,0.465,-0.501,1.546,1.523,0.078,27.5,346,-2.8,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C10,21.622568,79.842349,0.421,-0.485,1.622,1.5,0.089,27.0,348,-2.5,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C11,21.622568,79.845248,0.383,-0.468,1.678,1.484,0.092,27.6,348,-3.9,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C12,21.622568,79.848147,0.329,-0.436,1.689,1.426,0.1,27.8,351,-1.8,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C13,21.622568,79.851046,0.306,-0.424,1.704,1.416,0.107,27.8,352,-1.3,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C14,21.622568,79.853945,0.532,-0.554,1.435,1.775,0.062,24.8,352,-2.6,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C15,21.622568,79.856844,0.755,-0.686,1.103,2.147,0.036,23.2,357,1.6,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R12C16,21.622568,79.859743,0.773,-0.694,1.053,2.182,0.033,23.2,355,-1.1,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C01,21.619873,79.816257,0.708,-0.646,1.124,1.992,0.039,24.1,341,-0.8,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C02,21.619873,79.819156,0.443,-0.49,1.495,1.583,0.082,26.7,345,2.7,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C03,21.619873,79.822055,0.092,-0.066,1.363,1.505,0.064,25.5,344,0.8,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C04,21.619873,79.824954,0.365,-0.414,1.54,1.482,0.073,26.8,343,-1.2,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C05,21.619873,79.827853,0.47,-0.514,1.548,1.521,0.072,27.8,346,1.4,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C06,21.619873,79.830752,0.442,-0.492,1.585,1.495,0.083,27.6,344,-1.5,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C07,21.619873,79.833651,0.44,-0.479,1.54,1.447,0.083,27.6,347,0.2,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C08,21.619873,79.83655,0.367,-0.453,1.658,1.383,0.096,28.4,350,2.0,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C09,21.619873,79.83945,0.417,-0.477,1.597,1.477,0.08,28.0,350,0.7,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C10,21.619873,79.842349,0.417,-0.491,1.632,1.507,0.091,27.6,352,1.0,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C11,21.619873,79.845248,0.355,-0.438,1.674,1.442,0.09,27.4,351,-1.6,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C12,21.619873,79.848147,0.317,-0.431,1.75,1.377,0.103,27.3,354,-0.0,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C13,21.619873,79.851046,0.34,-0.448,1.711,1.396,0.1,26.7,356,0.8,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C14,21.619873,79.853945,0.717,-0.663,1.175,2.053,0.037,23.1,356,-1.1,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C15,21.619873,79.856844,0.76,-0.687,1.095,2.139,0.034,22.7,358,-0.4,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R13C16,21.619873,79.859743,0.769,-0.695,1.032,2.205,0.036,22.6,361,1.6,1.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C01,21.617178,79.816257,0.697,-0.636,1.143,1.987,0.04,24.0,339,-2.1,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C02,21.617178,79.819156,0.586,-0.592,1.397,1.794,0.056,25.5,347,4.8,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C03,21.617178,79.822055,0.318,-0.378,1.535,1.493,0.083,27.7,346,2.3,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C04,21.617178,79.824954,0.375,-0.46,1.635,1.462,0.094,27.6,344,-1.3,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C05,21.617178,79.827853,0.399,-0.478,1.621,1.477,0.085,28.7,347,0.8,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C06,21.617178,79.830752,0.381,-0.474,1.661,1.464,0.091,28.4,346,-1.0,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C07,21.617178,79.833651,0.477,-0.508,1.535,1.519,0.077,27.5,347,-1.3,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C08,21.617178,79.83655,0.352,-0.448,1.724,1.394,0.09,27.8,348,-1.9,0.4,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C09,21.617178,79.83945,0.38,-0.468,1.646,1.442,0.093,28.4,351,-0.4,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C10,21.617178,79.842349,0.318,-0.433,1.721,1.37,0.108,28.6,353,-0.5,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C11,21.617178,79.845248,0.341,-0.415,1.642,1.478,0.097,27.0,354,-1.6,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C12,21.617178,79.848147,0.437,-0.493,1.563,1.497,0.079,26.3,357,-0.6,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C13,21.617178,79.851046,0.626,-0.616,1.351,1.868,0.047,24.5,362,3.2,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C14,21.617178,79.853945,0.75,-0.682,1.099,2.145,0.035,22.9,358,-2.8,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C15,21.617178,79.856844,0.745,-0.681,1.114,2.126,0.035,23.1,358,-3.9,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R14C16,21.617178,79.859743,0.759,-0.699,1.096,2.193,0.036,23.3,367,4.2,1.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C01,21.614483,79.816257,0.717,-0.643,1.108,2.018,0.039,23.9,336,-4.0,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C02,21.614483,79.819156,0.694,-0.637,1.149,1.992,0.041,24.3,340,-1.9,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C03,21.614483,79.822055,0.464,-0.493,1.486,1.602,0.07,27.2,344,-0.0,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C04,21.614483,79.824954,0.362,-0.452,1.625,1.459,0.092,27.9,348,1.7,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C05,21.614483,79.827853,0.336,-0.45,1.725,1.447,0.097,29.3,349,1.5,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C06,21.614483,79.830752,0.287,-0.427,1.798,1.4,0.108,29.7,349,0.6,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C07,21.614483,79.833651,0.38,-0.466,1.655,1.46,0.092,27.7,348,-1.6,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C08,21.614483,79.83655,0.345,-0.427,1.617,1.375,0.096,27.6,351,-0.6,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C09,21.614483,79.83945,0.334,-0.446,1.738,1.402,0.107,27.5,352,-1.3,0.7,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C10,21.614483,79.842349,0.337,-0.446,1.733,1.439,0.11,29.0,356,-0.0,1.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C11,21.614483,79.845248,0.417,-0.483,1.6,1.561,0.084,27.1,356,-2.6,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C12,21.614483,79.848147,0.723,-0.665,1.196,2.048,0.037,24.7,360,-1.2,1.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C13,21.614483,79.851046,0.741,-0.675,1.149,2.062,0.035,23.3,358,-4.1,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C14,21.614483,79.853945,0.738,-0.684,1.154,2.091,0.036,23.4,364,-0.2,1.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C15,21.614483,79.856844,0.706,-0.661,1.207,2.005,0.039,23.5,363,-2.2,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R15C16,21.614483,79.859743,0.763,-0.699,1.125,2.19,0.036,23.5,368,2.0,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C01,21.611788,79.816257,0.692,-0.631,1.161,1.974,0.043,24.0,335,-4.2,0.5,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C02,21.611788,79.819156,0.71,-0.65,1.122,2.01,0.039,24.1,340,-1.6,1.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C03,21.611788,79.822055,0.383,-0.474,1.641,1.48,0.094,27.3,348,3.9,0.9,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C04,21.611788,79.824954,0.396,-0.465,1.565,1.49,0.085,27.5,349,2.0,0.1,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C05,21.611788,79.827853,0.37,-0.465,1.667,1.5,0.087,28.9,349,0.5,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C06,21.611788,79.830752,0.327,-0.448,1.779,1.441,0.091,29.0,352,2.8,0.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C07,21.611788,79.833651,0.337,-0.442,1.702,1.425,0.098,27.9,350,-0.5,0.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C08,21.611788,79.83655,0.371,-0.463,1.706,1.422,0.094,27.0,351,-1.8,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C09,21.611788,79.83945,0.397,-0.469,1.626,1.416,0.089,27.1,356,1.4,1.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C10,21.611788,79.842349,0.109,-0.139,1.58,1.534,0.076,26.9,364,6.1,1.0,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C11,21.611788,79.845248,0.58,-0.571,1.39,1.831,0.052,24.9,362,1.0,0.8,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C12,21.611788,79.848147,0.758,-0.685,1.111,2.124,0.033,23.4,370,5.8,1.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C13,21.611788,79.851046,0.756,-0.685,1.128,2.126,0.035,23.4,370,5.1,1.3,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C14,21.611788,79.853945,0.741,-0.68,1.184,2.091,0.037,24.0,376,9.2,1.2,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C15,21.611788,79.856844,0.709,-0.66,1.191,1.991,0.04,23.7,366,-1.6,0.6,0.0,0
dongri,manganese,S2C_MSIL2A_20251228T051231_R019_T44QLK_20251228T090010,2025-12-28,R16C16,21.611788,79.859743,0.758,-0.691,1.106,2.203,0.038,23.6,370,1.8,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C01,21.430212,79.253289,0.334,-0.465,1.751,1.487,0.093,39.2,340,-6.4,0.6,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C02,21.430212,79.256184,0.271,-0.429,1.917,1.348,0.113,40.7,339,-7.6,0.7,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C03,21.430212,79.259079,0.313,-0.456,1.815,1.414,0.103,41.3,344,-2.3,0.8,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C04,21.430212,79.261974,0.279,-0.414,1.778,1.362,0.114,42.4,346,0.6,0.0,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C05,21.430212,79.264868,0.322,-0.468,1.807,1.419,0.098,41.3,344,-0.5,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C06,21.430212,79.267763,0.325,-0.446,1.707,1.393,0.102,40.4,342,-0.4,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C07,21.430212,79.270658,0.336,-0.45,1.67,1.409,0.098,39.4,340,-0.4,0.5,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C08,21.430212,79.273553,0.33,-0.436,1.617,1.402,0.094,39.2,337,-1.2,0.3,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C09,21.430212,79.276447,0.38,-0.476,1.635,1.453,0.091,38.5,337,0.5,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C10,21.430212,79.279342,0.389,-0.468,1.604,1.409,0.093,38.8,333,-2.2,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C11,21.430212,79.282237,0.352,-0.457,1.699,1.382,0.098,40.4,333,-1.2,0.1,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C12,21.430212,79.285132,0.22,-0.3,1.456,1.216,0.115,41.0,334,1.1,0.2,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C13,21.430212,79.288026,0.281,-0.356,1.505,1.297,0.104,40.7,333,0.7,0.4,0.0,0
kandri_munsar,manganese,S2B_MSIL2A_20260313T050649_R019_T44QLJ_20260313T091002,2026-03-13,R01C14,21.430212,79.290921,0.298,-0.442,1.813,1.386,0.102,41.0,330,-1.9,0.3,0.0,0
